Name,Height,Weight,Reach,Stance,Wins,Losses,Draws
Kara-France,Don't Blink,"5' 4""",125 lbs.,"69.0""",Orthodox,25,11
Karakhanyan,Insane,"5' 8""",145 lbs.,--,,26,7
Karalexis,The Assassin,"5' 8""",155 lbs.,"66.0""",Orthodox,10,6
Kareckaite,Heavy-Handed,"5' 9""",125 lbs.,"71.0""",Orthodox,5,1
Kasanganay,Tshilobo,"5' 11""",170 lbs.,"75.0""",Orthodox,9,2
Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4
LaBerge,,"5' 10""",145 lbs.,--,,11,6
Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5
Lacerda,Miojo,"5' 6""",125 lbs.,"70.0""",Switch,11,6
Lacerda,,"5' 7""",135 lbs.,"71.0""",Orthodox,12,3
Lachinov,,--,170 lbs.,--,,3,2
Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,9,3
LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3
Laframboise,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,5
Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5
Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2
Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1
Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,9,3
Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6
Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1
Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3
Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8
Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13
Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16
Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,18,6
Lane,,"6' 6""",245 lbs.,"80.0""",Orthodox,13,5
Lanfranco,,--,155 lbs.,--,,5,1
Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2
Lanham,,--,205 lbs.,--,,5,1
Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,8
O'Brien,Irish,"6' 3""",205 lbs.,"76.0""",Orthodox,15,4
O'Brien,The Spider,"6' 2""",155 lbs.,--,Orthodox,20,8
O'Connell,The Real OC,"6' 1""",205 lbs.,"74.0""",Orthodox,17,9
O'Connor,Johnny Irish,"5' 4""",115 lbs.,--,,6,6
O'Haire,,"6' 5""",270 lbs.,--,Orthodox,4,2
O'Malley,Suga,"5' 11""",135 lbs.,"72.0""",Switch,18,2
O'Neal,,"5' 8""",260 lbs.,--,,13,25
O'Neil,Cold Steel,"6' 2""",170 lbs.,--,,17,9
O'Neill,King,"5' 6""",125 lbs.,"69.0""",Orthodox,10,2
O'Reilly,Badger,"5' 7""",170 lbs.,"69.0""",Orthodox,6,3
Oba,,"5' 8""",200 lbs.,--,Southpaw,5,7
Obiya,,"5' 8""",145 lbs.,--,Orthodox,12,5
Ochoa,Kalzifer,"5' 7""",125 lbs.,"67.0""",Southpaw,7,1
Ocon,,"5' 8""",135 lbs.,"69.0""",Orthodox,2,1
Odoms,The Black Eagle,"6' 5""",265 lbs.,--,Orthodox,13,3
Oezdemir,No Time,"6' 2""",205 lbs.,"75.0""",Orthodox,20,8
Ofli,Genghis,"5' 7""",145 lbs.,"66.0""",Orthodox,12,3
Ogawa,,"6' 4""",255 lbs.,--,Orthodox,7,2
Ogden,Shamurai,"5' 11""",155 lbs.,"72.0""",Orthodox,18,6
Ogle,The Little Axe,"5' 8""",145 lbs.,"69.0""",Orthodox,9,6
Oh,Spider,--,155 lbs.,--,,7,2
Ohara,,"5' 10""",205 lbs.,--,Orthodox,0,2
Oishi,,"5' 8""",170 lbs.,--,Orthodox,25,10
Okada,Giant Ochiai,"6' 1""",290 lbs.,--,Orthodox,3,3
Okami,Thunder,"6' 2""",170 lbs.,"75.0""",Southpaw,34,12
Pa'aluhi,Rocky,"5' 7""",135 lbs.,--,,6,5
Pace,,"5' 7""",135 lbs.,"68.0""",Orthodox,8,3
Pacheco,,"5' 7""",135 lbs.,--,Orthodox,10,2
Pacheco,,"5' 8""",135 lbs.,"70.0""",Orthodox,7,3
Packalen,Pacu,"6' 1""",155 lbs.,"75.0""",Orthodox,8,3
Pacurariu,Constantine,"5' 7""",135 lbs.,--,,10,5
Padilha,,"5' 11""",155 lbs.,--,,3,3
Padilla,,"5' 11""",205 lbs.,--,,12,6
Padilla,El Valiente,"6' 1""",145 lbs.,"76.0""",Orthodox,16,6
Padilla,Taco,"5' 9""",155 lbs.,"74.0""",Orthodox,15,6
Page,The Angel of Death,"5' 6""",135 lbs.,"66.0""",Orthodox,19,10
Page,Venom,"6' 3""",170 lbs.,"79.0""",Switch,22,3
Pague,The Disciple,"5' 9""",135 lbs.,"74.0""",Orthodox,12,11
Paiva,,"5' 6""",125 lbs.,--,,8,2
Paiva,,"5' 8""",135 lbs.,"69.0""",Orthodox,21,5
Paiva Jr.,Sweetbread,"5' 9""",145 lbs.,"71.0""",Southpaw,13,8
Paixao,,"5' 6""",145 lbs.,"66.0""",Orthodox,10,5
Pajuelo,Corazon de Leon,"5' 10""",145 lbs.,"69.0""",Orthodox,8,2
Palacios,,"5' 9""",145 lbs.,--,Orthodox,3,2
Palacios,El Gallero,"5' 6""",145 lbs.,--,Orthodox,10,1
Palaszewski,Bartimus,"5' 9""",145 lbs.,"70.0""",Orthodox,36,17
Palatnikov,,"6' 1""",170 lbs.,"72.0""",Switch,6,4
Palelei,The Hulk,"6' 4""",265 lbs.,"81.0""",Orthodox,22,5
Palhares,Toquinho,"5' 8""",170 lbs.,"71.0""",Orthodox,19,8
Palhares,,--,180 lbs.,--,,2,16
Lun,Tibetan Knight,"5' 8""",125 lbs.,"66.0""",Southpaw,16,9
Quach,,"5' 3""",145 lbs.,--,Orthodox,19,10
Quan,,"5' 8""",143 lbs.,--,,3,5
Quarantillo,,"5' 10""",145 lbs.,"70.0""",Orthodox,18,7
Quarry,Rock,"6' 0""",185 lbs.,"72.0""",Open Stance,12,4
Queiroz,Spartan,"6' 7""",220 lbs.,--,Orthodox,8,4
Quinlan,Crash,"6' 0""",185 lbs.,--,Orthodox,3,1
Quinlan,Bushido,"6' 0""",170 lbs.,"72.0""",Orthodox,6,3
Quinn,,"5' 8""",145 lbs.,--,,13,7
Quinones,El Capo,"5' 10""",155 lbs.,"73.0""",Orthodox,8,3
Quinones,The Lone Wolf,"5' 9""",155 lbs.,"70.0""",Southpaw,7,3
Quinonez,Teco,"5' 8""",135 lbs.,"69.0""",Southpaw,9,5
Quinonez,Problema,"5' 8""",135 lbs.,"70.0""",Orthodox,18,5
Radach,Razor,"5' 10""",185 lbs.,--,Orthodox,21,7
Radev,,"5' 7""",185 lbs.,--,Southpaw,23,5
Radtke,Chuck Buffalo,"5' 9""",170 lbs.,"72.0""",Orthodox,10,4
Radzhabov,The Tajik Tank,"5' 11""",155 lbs.,"69.0""",Orthodox,18,6
Rael,,"5' 8""",155 lbs.,--,,1,3
Rafferty,,"6' 0""",170 lbs.,--,Orthodox,9,8
Rahnavardi,,"6' 0""",205 lbs.,--,Orthodox,11,10
Rainey,The Sniper,"6' 1""",170 lbs.,"77.0""",Switch,12,6
Rakhmonov,Nomad,"6' 1""",170 lbs.,"77.0""",Orthodox,19,0
Rakhmonova,,--,125 lbs.,--,,4,1
Rakic,Rocket,"6' 4""",205 lbs.,"78.0""",Orthodox,14,5
Rakoczy,The Ragin',"5' 7""",115 lbs.,--,Orthodox,1,5
Ramaska,,"5' 11""",145 lbs.,"71.0""",Orthodox,9,3
Ramirez,,"6' 1""",410 lbs.,--,Sideways,0,1
Ramirez,Sick Dog,"6' 0""",205 lbs.,--,Orthodox,10,6
Ramirez,The Machine,"5' 5""",125 lbs.,--,,2,3
Ramirez,,"5' 7""",125 lbs.,--,,5,2
Ramirez,,--,135 lbs.,--,,5,4
Ramirez,,"5' 11""",155 lbs.,"71.0""",Orthodox,8,2
Ramm,The,"6' 1""",160 lbs.,--,,4,4
Rammel,,"6' 0""",185 lbs.,--,,7,8
Ramos,Beicao,"5' 8""",170 lbs.,--,Orthodox,20,10
Ramos,,"5' 9""",145 lbs.,"72.0""",Orthodox,17,6
Ramos,Tasmanian Devil,"5' 6""",155 lbs.,"70.0""",Orthodox,10,4
Ramos,,"5' 8""",145 lbs.,"70.0""",Orthodox,8,3
Tachihikari,,"6' 5""",300 lbs.,--,Orthodox,0,4
Tackett,,--,115 lbs.,--,,1,3
Tadeu,,"5' 8""",160 lbs.,--,Orthodox,2,3
Tafa,Bad Man,"6' 0""",264 lbs.,"74.0""",Southpaw,7,4
Tafa,The Juggernaut,"6' 3""",240 lbs.,"75.0""",Orthodox,6,3
Taha,The Warrior,"5' 5""",135 lbs.,"69.0""",Orthodox,13,5
Taimanglo,The Juggernaut,"5' 4""",135 lbs.,--,,23,7
Taira,,"5' 7""",125 lbs.,"70.0""",Orthodox,16,1
Taisumov,Beckan,"5' 9""",155 lbs.,"73.0""",Orthodox,27,6
Takada,,"6' 0""",220 lbs.,--,Southpaw,2,6
Takahashi,Kazuo,"5' 11""",199 lbs.,--,Southpaw,30,27
Takahashi,,"5' 8""",150 lbs.,--,,15,12
Takase,,"6' 0""",170 lbs.,--,Southpaw,12,15
Takaya,Streetfight Bancho,"5' 6""",139 lbs.,--,Orthodox,21,14
Takayama,,"6' 5""",280 lbs.,--,Orthodox,1,4
Takimoto,,"5' 7""",205 lbs.,--,Southpaw,6,5
Taktarov,The Russian Bear,"6' 0""",210 lbs.,--,Orthodox,17,5
Talbott,,"5' 10""",135 lbs.,"70.0""",Switch,9,0
Taleb,,"6' 1""",170 lbs.,"74.0""",Orthodox,15,7
Talha,,"6' 0""",205 lbs.,"74.0""",Orthodox,6,1
Tamakairiki,,"6' 0""",220 lbs.,--,Orthodox,0,3
Tamez,Tomahawk,"5' 7""",135 lbs.,--,,10,0
Tamura,,"5' 11""",185 lbs.,--,Southpaw,32,13
Tamura,The Ironman,"5' 9""",135 lbs.,"70.0""",Orthodox,21,18
Tamura,,"5' 5""",135 lbs.,"63.0""",Orthodox,10,8
Uchida,,"5' 5""",125 lbs.,"68.0""",Southpaw,6,1
Uda,,"6' 3""",185 lbs.,--,Orthodox,12,2
Ueyama,,"5' 11""",180 lbs.,--,Southpaw,12,18
Uflacker,,"5' 11""",170 lbs.,--,,5,0
Uhrich,,"6' 0""",170 lbs.,--,,11,6
Ulanbekov,,"5' 7""",125 lbs.,"70.0""",Southpaw,15,2
Ulberg,Black Jag,"6' 4""",205 lbs.,"77.0""",Orthodox,12,1
Umalatov,Cobra,"5' 11""",170 lbs.,"71.0""",Orthodox,17,4
Umphries,,--,160 lbs.,--,,5,2
Underwood,,"6' 2""",185 lbs.,--,,13,7
Uno,Uno Shoten,"5' 7""",155 lbs.,"70.0""",Southpaw,33,19
Ura,Uraken,"5' 9""",165 lbs.,--,,14,12
Urban,Hulk,"6' 0""",170 lbs.,"72.0""",Orthodox,5,1
Urbina,El Toro,"5' 11""",170 lbs.,"73.0""",Orthodox,17,10
Urbina,,"6' 3""",185 lbs.,"77.0""",Southpaw,3,1
Urbina,The RGV Bad Boy,"6' 3""",170 lbs.,"75.0""",Orthodox,7,4
Urso,,"5' 6""",125 lbs.,"66.0""",Southpaw,10,3
Urushitani,,"5' 5""",125 lbs.,--,Southpaw,21,8
Usami,Savage,"5' 9""",155 lbs.,"70.0""",Orthodox,4,1
Usman,The Nigerian Nightmare,"6' 0""",170 lbs.,"76.0""",Switch,20,4
Usman,The Motor,"6' 2""",239 lbs.,"79.0""",Orthodox,11,4
Uyenoyama,BC,"5' 6""",125 lbs.,"65.0""",Orthodox,10,6
Vaculik,Vas,"5' 6""",125 lbs.,"69.0""",Orthodox,10,4
Vakhitov,,"6' 1""",205 lbs.,"75.0""",Orthodox,3,1
Valavicius,,"6' 0""",200 lbs.,--,Orthodox,29,12
Valdez,Rayadito,"5' 9""",155 lbs.,"72.0""",Orthodox,10,3
Valencia,,"5' 3""",135 lbs.,"64.0""",Orthodox,12,7
Valentin,Robzilla,"6' 2""",185 lbs.,"77.0""",Orthodox,11,4
Valenzuela,Joe Boxer,"5' 10""",155 lbs.,--,,13,6
Valenzuela,Bam Bam,"6' 2""",185 lbs.,"77.0""",Orthodox,8,2
Valiev,Lucky,"5' 6""",135 lbs.,"67.0""",Orthodox,18,3
Valimaki,The Matrix,"6' 0""",205 lbs.,--,Orthodox,18,10
Valladerez,,--,135 lbs.,--,,5,7
Vallejos,El Chino,"5' 7""",145 lbs.,"68.0""",Switch,14,1
Vallie-Flagg,,"5' 8""",155 lbs.,"70.0""",Orthodox,16,7
Van,The Fearless,"5' 5""",125 lbs.,"65.0""",Orthodox,12,2
van Arsdale,,"6' 2""",205 lbs.,--,Switch,8,5
Van Buren,Gutter,"6' 5""",205 lbs.,--,,7,6
van Clief,The Black Dragon,"5' 10""",190 lbs.,--,Orthodox,0,1
Van Dams,,"6' 1""",240 lbs.,--,Southpaw,0,1
Van der Merckt,Top Boy,--,185 lbs.,--,,8,0
VanCamp,Jumpman,"6' 2""",155 lbs.,"74.0""",Switch,15,7
Vance,,"6' 0""",185 lbs.,--,Orthodox,7,5
Vanderaa,,"6' 4""",265 lbs.,"80.0""",Orthodox,12,10
Vanderford,AK-47,"5' 11""",170 lbs.,--,Orthodox,4,0
Vannata,Groovy,"5' 9""",155 lbs.,"71.0""",Orthodox,12,7
VanZant,12 Gauge,"5' 4""",115 lbs.,"65.0""",Orthodox,8,5
Wade,,"5' 10""",205 lbs.,--,,4,11
Wade,,"5' 10""",155 lbs.,"70.0""",Orthodox,12,3
Wain,Old School,"5' 10""",242 lbs.,--,Orthodox,13,4
Waldburger,,"5' 11""",170 lbs.,"75.0""",Orthodox,16,9
Waldon,,"6' 1""",185 lbs.,"75.0""",Orthodox,11,2
Walker,,"5' 11""",205 lbs.,--,Southpaw,1,5
Walker,,"6' 1""",215 lbs.,--,Orthodox,2,0
Walker,Eagle Eye,"5' 9""",135 lbs.,--,,15,10
Walker,,"6' 6""",205 lbs.,"82.0""",Orthodox,21,9
Walker,The Bear,"5' 4""",125 lbs.,"67.0""",Switch,8,4
Walker,The Clean Monster,"6' 6""",265 lbs.,"78.0""",Orthodox,12,1
Wall,Manimal,"5' 10""",155 lbs.,--,Orthodox,8,7
Wallace,Blaze,"6' 0""",185 lbs.,--,Orthodox,18,6
Wallace,Shonuff the Master,"5' 9""",205 lbs.,"72.0""",Switch,26,15
Wallace,,"5' 9""",--,--,,4,6
Wallace,Braveheart,"5' 11""",185 lbs.,"73.0""",Orthodox,15,6
Wallace,Jesse,"5' 10""",155 lbs.,"69.0""",Orthodox,5,2
Wallhead,Judo,"5' 10""",170 lbs.,--,Orthodox,29,11
Walmsley,Hardcore,"6' 0""",205 lbs.,--,Orthodox,8,2
Walsh,Filthy Rich,"6' 0""",170 lbs.,"73.0""",Orthodox,9,5
Walsh,The Beast of the East,"5' 11""",185 lbs.,--,,10,3
Wanderlei,,"6' 1""",205 lbs.,--,Orthodox,3,3
Wanderley,,--,205 lbs.,--,Orthodox,5,2
Wang,,"5' 6""",155 lbs.,--,Orthodox,7,8
Wang,The Fire Kylin,"6' 0""",170 lbs.,--,Southpaw,20,6
Xavier,Macula,"6' 3""",220 lbs.,--,Orthodox,5,3
Long,,"5' 8""",135 lbs.,"70.0""",Orthodox,27,9
Bin,The Stalker,"5' 9""",145 lbs.,"71.0""",Orthodox,13,4
Yager,The Chosyn 1,"6' 1""",185 lbs.,--,Orthodox,8,4
Yagin,The Filipino Phenom,"5' 7""",145 lbs.,--,Orthodox,16,7
Yahya,,"5' 6""",135 lbs.,"67.0""",Orthodox,28,12
Yahya,The UAE Warrior,"5' 9""",155 lbs.,"73.0""",Switch,12,5
Yakovlev,Russian Thunder,"6' 3""",155 lbs.,"74.0""",Southpaw,24,10
Yamamiya,,"5' 11""",185 lbs.,--,Southpaw,45,35
Yamamoto,,"6' 0""",170 lbs.,--,Orthodox,5,12
Yamamoto,,"6' 2""",220 lbs.,--,Southpaw,14,25
Yamamoto,,"5' 6""",139 lbs.,--,Orthodox,19,11
Yamamoto,Kid,"5' 4""",135 lbs.,"66.0""",Southpaw,18,6
Yamanaka,Cat's Eye,"5' 11""",135 lbs.,--,,13,3
Yamauchi,,"5' 10""",145 lbs.,--,,21,3
Yamazaki,,"5' 8""",139 lbs.,--,Southpaw,15,12
Xiaonan,,"5' 5""",115 lbs.,"63.0""",Orthodox,19,4
Yan,No Mercy,"5' 7""",135 lbs.,"67.0""",Switch,18,5
Qihui,Queen Kong,"5' 3""",125 lbs.,"62.0""",Orthodox,25,5
Yandiev,Boroda,"5' 9""",185 lbs.,"74.0""",Orthodox,9,1
Yanez,,"5' 7""",135 lbs.,"70.0""",Orthodox,17,6
Yang,The Ox,"5' 10""",185 lbs.,"73.0""",Southpaw,13,3
Yang,,"5' 7""",145 lbs.,--,Orthodox,11,4
Yano,,"5' 9""",198 lbs.,--,Orthodox,2,4
Yarborough,,"6' 8""",770 lbs.,--,Open Stance,1,2
Yarbrough,,"6' 1""",185 lbs.,--,Orthodox,8,3
Yasuda,,"6' 4""",310 lbs.,--,Orthodox,2,4
Yatsu,,"6' 1""",165 lbs.,--,Orthodox,0,2
Zachrich,,"6' 2""",185 lbs.,"74.0""",Orthodox,14,4
Zafir,The Professor,"5' 11""",170 lbs.,--,Orthodox,7,3
Zahabi,,"5' 8""",135 lbs.,"68.0""",Orthodox,12,2
Zaiden,,--,205 lbs.,--,,10,3
Zalal,The Moroccan Devil,"5' 10""",145 lbs.,"72.0""",Switch,16,5
Zaleski dos Santos,Capoeira,"5' 11""",170 lbs.,"73.0""",Orthodox,25,8
Zane,The Hurricane,"5' 7""",145 lbs.,"69.0""",Southpaw,10,7
Zapata,Viva,"5' 11""",170 lbs.,--,Southpaw,4,2
Zaromskis,The Whitemare,"5' 9""",170 lbs.,--,Orthodox,20,9
Zawada,Sagat,"6' 0""",170 lbs.,"75.0""",Orthodox,17,7
Zecchini,Angelo Veneziano,"5' 8""",145 lbs.,"68.0""",Orthodox,11,4
Zeferino,The Brazilian Samurai,"5' 11""",170 lbs.,--,Orthodox,21,9
Zellhuber,Golden Boy,"6' 1""",155 lbs.,"77.0""",Switch,15,2
Zellner,Big Z,"6' 2""",205 lbs.,--,Orthodox,4,3
Zenidim,The King,"5' 7""",125 lbs.,"67.0""",Orthodox,14,2
Zentsov,The Russian Hammer,"6' 1""",230 lbs.,--,Orthodox,18,12
Zevallos,,"6' 0""",205 lbs.,--,Orthodox,3,4
Tiequan,The Wolf,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4
Lipeng,The Warrior,"5' 11""",155 lbs.,"71.0""",Southpaw,23,9
Weili,Magnum,"5' 4""",115 lbs.,"63.0""",Switch,25,3
Mingyang,Mountain Tiger,"6' 2""",205 lbs.,"75.0""",Orthodox,18,6
Zhawupasi,,"5' 8""",135 lbs.,"68.0""",Switch,9,2
Zhelezniakova,Iron Lady,"5' 9""",135 lbs.,"68.0""",Orthodox,9,2
Zhikui,The Conqueror,"5' 5""",125 lbs.,"64.0""",Orthodox,2,4
Kangjie,,"5' 6""",145 lbs.,"70.0""",Orthodox,20,4
