player,position,date,status,details
N/A,N/A,N/A,N/A,N/A
Cody Zeller,C,Dec 21,Out,"Dec 10: Zeller (personal) won't play in Wednesday's game versus the Knicks, Kevin Chouinard of the Hawks' official site reports."
Seth Lundy,G,Dec 21,Out,Nov 12: Lundy will be re-evaluated in approximately four weeks due to a sprained left ankle.
N/A,N/A,N/A,N/A,N/A
Al Horford,C,Dec 19,Out,Dec 14: Horford (undisclosed) will not play in Sunday's game against the Wizards for rest purposes
N/A,N/A,N/A,N/A,N/A
Ziaire Williams,F,Dec 16,Out,"Dec 12: Williams (knee) is out for Friday's game versus the Grizzlies, Erik Slater of ClutchPoints.com reports."
Bojan Bogdanovic,SF,Dec 29,Out,"Dec 12: The Nets announced Thursday that Bogdanovic (foot) remains without a timetable for his return, Erik Slater of ClutchPoints.com reports."
Cam Thomas,SG,Dec 19,Out,Nov 27: Brooklyn announced Wednesday that Thomas suffered a left hamstring strain and will be re-evaluated in three weeks.
N/A,N/A,N/A,N/A,N/A
Dalen Terry,F,Dec 16,Day-To-Day,Dec 15: Terry (knee) is questionable for Monday's game against the Raptors.
Lonzo Ball,PG,Dec 16,Day-To-Day,Dec 15: Ball (knee) is probable for Monday's game against the Raptors.
Nikola Vucevic,C,Dec 16,Day-To-Day,Dec 15: Vucevic (illness) is probable for Monday's game against the Raptors.
Zach LaVine,SG,Dec 16,Day-To-Day,Dec 15: LaVine (back) is questionable for Monday's game against the Raptors.
E.J. Liddell,F,Dec 16,Day-To-Day,Dec 14: Liddell wasn't available Friday in the Bulls' 109-95 win over the Hornets due to a sore left knee.
N/A,N/A,N/A,N/A,N/A
Luke Travers,G,Dec 20,Day-To-Day,"Dec 15: Travers signed a two-way contract with the Cavaliers on Wednesday, Adrian Wojnarowski of ESPN reports."
Evan Mobley,PF,Dec 16,Day-To-Day,"Dec 14: Mobley (ankle) won't play in Friday's game versus the Wizards, Serena Winters of FanDuel Sports Network Ohio reports."
Max Strus,SG,Dec 16,Out,Dec 12: Strus (ankle) won't play in Friday's game versus the Wizards.
Emoni Bates,F,Dec 16,Out,"Oct 7: Bates underwent surgery Wednesday to repair a torn meniscus in his right knee, Spencer Davies of SI.com reports."
N/A,N/A,N/A,N/A,N/A
Maxi Kleber,PF,Jan 6,Out,"Dec 14: Kleber has been diagnosed with a fractured rib, Grant Afseth of DallasHoopsJournal.com reports."
Jaden Hardy,G,Dec 19,Out,"Dec 14: Hardy (ankle) will not play in Sunday's game versus the Warriors, Eddie Sefko of the Mavericks' official site reports."
Brandon Williams,G,Dec 19,Out,"Dec 14: Williams (thumb) won't play in Sunday's game versus the Warriors, Eddie Sefko of the Mavericks' official site reports."
Naji Marshall,SF,Dec 19,Out,"Dec 14: Marshall (illness) is out for Sunday's game versus the Warriors, Grant Afseth of DallasHoopsJournal.com reports."
Dante Exum,G,Jan 20,Out,"Oct 9: Exum underwent surgery on his right wrist Tuesday, Grant Afseth of EssentiallySports.com reports."
N/A,N/A,N/A,N/A,N/A
Dario Saric,PF,Dec 16,Out,Dec 12: Saric (ankle) has been ruled out for Friday's game against the Clippers.
Vlatko Cancar,SF,Feb 20,Out,"Dec 4: Cancar (knee) will be re-evaluated in 8 weeks following left knee surgery, Ryan Blackburn of MileHighSports.com reports."
DaRon Holmes II,C,Jul 1,Out,
N/A,N/A,N/A,N/A,N/A
Jalen Duren,C,Dec 16,Day-To-Day,Dec 13: Duren (wrist) is out for Thursday's game against the Celtics.
Tobias Harris,F,Dec 16,Day-To-Day,"Dec 12: Harris went to the locker room during the fourth quarter of Thursday's game against the Celtics after injuring his hand, John Karalis of BostonSportsJournal.com reports. He recorded nine points (4-9 FG, 1-3 3Pt), eight rebounds and three assists in 26 minutes prior to exiting."
N/A,N/A,N/A,N/A,N/A
Stephen Curry,PG,Dec 15,Day-To-Day,Dec 14: Curry is listed as questionable for Sunday's game versus the Maverick due to right cervical facet inflammation.
De'Anthony Melton,SG,Oct 1,Out,"Dec 14: Melton (knee) has been dealt to the Nets along with three second-round picks in exchange for Dennis Schroder and one second-round pick, Shams Charania of ESPN reports."
Moses Moody,SG,Dec 19,Out,"Dec 14: Moody (knee) is out for Sunday's game versus the Mavericks and is considered day-to-day moving forward, Ohm Youngmisuk of ESPN.com reports."
Andrew Wiggins,SF,Dec 15,Day-To-Day,"Dec 14: Coach Steve Kerr said Wiggins (ankle) participated in Saturday's practice and is questionable for Sunday's game versus the Mavericks, Ohm Youngmisuk of ESPN.com reports."
N/A,N/A,N/A,N/A,N/A
Steven Adams,C,Dec 19,Day-To-Day,"Dec 14: Adams recorded four points (1-2 FG, 2-4 FT) and six rebounds across six minutes off the bench in Saturday's 111-96 loss to the Thunder. He exited the game in the third quarter and didn't return, according to Adam Wexler of Sportstalk 790 Houston."
N/A,N/A,N/A,N/A,N/A
Aaron Nesmith,SF,Dec 26,Out,"Dec 10: Dustin Dopirak of The Indianapolis StarIndiana coach Rick Carlisle said Nesmith (ankle) is still weeks away from returning to action, Dustin Dopirak reports."
Ben Sheppard,G,Dec 23,Out,"Nov 24: Coach Rick Carlisle said Sunday that Sheppard (oblique) will miss multiple weeks, Dustin Dopirak of The Indianapolis Star reports."
Isaiah Jackson,SF,Oct 1,Out,"Nov 2: Jackson suffered a torn Achilles during Friday's game against the Pelicans, Shams Charania of ESPN reports."
James Wiseman,C,Oct 1,Out,"Oct 25: Wiseman underwent successful surgery to repair a torn left Achilles on Thursday, Shams Charania of ESPN reports."
N/A,N/A,N/A,N/A,N/A
Kobe Brown,G,Dec 19,Out,"Dec 11: Brown (back) was on-court for shooting drills during Wednesday's practice, although no other activity was mentioned, independent NBA writer Justin Russo reports."
Kawhi Leonard,SF,Dec 19,Out,"Dec 10: Coach Tyronn Lue said Leonard (knee) logged a limited practice Tuesday, Law Murray of The Athletic reports."
Derrick Jones Jr.,SF,Dec 27,Out,"Dec 10: The Clippers announced Tuesday that Jones has a right hamstring strain and will be re-evaluated in two weeks, Joey Linn of SI.com reports."
Terance Mann,SG,Dec 27,Out,"Dec 4: Mann will undergo surgery to repair his fractured left middle finger and will be re-evaluated in three weeks, Joey Linn of SI.com reports."
P.J. Tucker,PF,Dec 27,Out,"Oct 20: The Clippers announced Sunday that Tucker will not be with the team moving forward, Joey Linn of SI.com reports."
N/A,N/A,N/A,N/A,N/A
LeBron James,SF,Dec 15,Day-To-Day,"Dec 14: James (foot) is questionable for Sunday's game against the Grizzlies, Dan Woike of the Los Angeles Times reports."
Jalen Hood-Schifino,G,Dec 19,Out,"Dec 14: Hood-Schifino (hamstring) is out for Sunday's game against the Grizzlies, Dan Woike of the Los Angeles Times reports."
Anthony Davis,PF,Dec 15,Day-To-Day,"Dec 14: Davis is probable for Sunday's game against the Grizzlies due to left plantar fasciitis, Dan Woike of the Los Angeles Times reports."
Jarred Vanderbilt,PF,Jan 9,Out,"Dec 3: After experiencing fluid in his left knee during the rehab process, Vanderbilt's expected return has been pushed to early January, ESPN's Shams Charania reports."
Jaxson Hayes,C,Dec 19,Out,"Nov 30: Hayes (ankle) is expected to be sidelined 2-to-3 weeks, Shams Charania of ESPN reports."
Christian Wood,F,Dec 23,Out,"Nov 12: Coach JJ Redick said Tuesday that Wood (knee) has experienced soreness in his surgically repaired knee and will miss at least four more weeks, Dan Woike of the Los Angeles Times reports."
N/A,N/A,N/A,N/A,N/A
Jay Huff,C,Dec 15,Day-To-Day,Dec 14: Huff is questionable for Sunday's game against the Lakers with left knee soreness.
Zach Edey,C,Dec 15,Out,Dec 14: Edey (ankle) is questionable for Sunday's game against the Lakers.
Marcus Smart,PG,Dec 15,Day-To-Day,Dec 14: Smart is questionable for Sunday's game against the Lakers due to left knee soreness.
GG Jackson II,F,Jan 13,Out,"Dec 4: Jackson (foot) ""continues to progress well"" from offseason foot surgery and is expected to return to play in 6-8 weeks"
Vince Williams Jr.,G,Jan 3,Out,Nov 21: The Grizzlies announced Thursday that Williams has been diagnosed with a Grade 3 right ankle sprain and will be re-evaluated in approximately four weeks.
N/A,N/A,N/A,N/A,N/A
Nikola Jovic,F,Dec 20,Out,"Dec 15: Jovic (ankle) has been ruled out for Monday's game against the Pistons, Ky Carlin of USA Today reports."
Pelle Larsson,G,Dec 20,Out,"Dec 15: Larsson (ankle) has been ruled out for Monday's game against the Pistons, Ira Winderman of the South Florida Sun Sentinel reports."
Josh Richardson,SG,Dec 20,Out,"Dec 11: Richardson had an injection in his left heel Wednesday and will miss at least one week, Ira Winderman of the South Florida Sun Sentinel reports."
N/A,N/A,N/A,N/A,N/A
Joe Ingles,SG,Dec 19,Out,Dec 14: Ingles (calf) is out for Sunday's game against the Spurs.
N/A,N/A,N/A,N/A,N/A
Karlo Matkovic,C,Dec 19,Out,Dec 14: Matkovic (back) is out for Sunday's game versus the Pacers.
Jordan Hawkins,G,Dec 19,Out,Dec 14: Hawkins (back) is out for Sunday's game versus the Pacers.
Jeremiah Robinson-Earl,F,Dec 19,Out,Dec 14: Robinson-Earl (illness) won't play in Sunday's game versus the Pacers.
Brandon Ingram,SF,Jan 3,Out,"Dec 8: Ingram (ankle) has been ruled out indefinitely, Shams Charania of ESPN reports."
Jose Alvarado,PG,Dec 19,Out,Dec 4: Alvarado (hamstring) continues progressing through rehab and will be re-evaluated in approximately two weeks.
Zion Williamson,PF,Dec 30,Out,"Dec 4: Williamson is ""progressing well through rehabilitation"" of his left hamstring strain and will be re-evaluated in approximately two weeks."
N/A,N/A,N/A,N/A,N/A
Ariel Hukporti,C,Dec 15,Day-To-Day,Dec 14: Hukporti is doubtful for Sunday's game against the Magic.
Mitchell Robinson,C,Jan 25,Out,"Dec 11: Robinson (foot) is unlikely to be cleared for game action until ""at least late January,"" Shams Charania of ESPN reports."
Kevin McCullar Jr.,F,Dec 19,Out,Oct 27: McCullar (knee) has been ruled out of Monday's game against the Cavaliers.
N/A,N/A,N/A,N/A,N/A
Alex Ducas,G,Dec 17,Out,Dec 13: Ducas (back) is out for Saturday's NBA Cup Semifinals against the Rockets.
Jaylin Williams,F,Dec 17,Out,"Dec 13: Williams (hamstring) will not play in Saturday's NBA Cup Seminfinals matchup with the Rockets, Clemente Almanza of USA Today reports."
Adam Flagler,F,Jan 8,Out,"Dec 9: Flagler has been diagnosed with a right fourth metacarpal fracture and will be re-evaluated in 4-to-6 weeks, Clemente Almanza of USA Today reports."
Ousmane Dieng,F,Dec 19,Out,"Nov 24: Dieng will miss three to four weeks due to a right ring finger fracture, Andrew Schlecht of The Athletic reports."
Chet Holmgren,PF,Jan 26,Out,"Nov 11: Holmgren suffered a right iliac hip fracture during Sunday's loss to the Warriors and a return to play protocol will be provided in 8-to-10 weeks, Shams Charania of ESPN reports."
Nikola Topic,G,Jul 1,Out,"Jul 24: Topic underwent a successful left ACL procedure Wednesday and will miss the 2024-25 season, Clemente Almanza of USA Today reports."
N/A,N/A,N/A,N/A,N/A
Jonathan Isaac,PF,Dec 15,Out,Dec 14: Isaac (hamstring) is probable for Sunday's game against the Knicks.
Gary Harris,SG,Dec 19,Out,Dec 14: Harris (hamstring) is questionable for Sunday's game against the Knicks.
Paolo Banchero,PF,Dec 26,Out,"Dec 13: Coach Jamahl Mosley said Friday that Banchero (oblique) did some conditioning and ball handling drills during Friday's practice, Philip Rossman-Reich of OrlandoMagicDaily.com reports."
Franz Wagner,SF,Jan 5,Out,"Dec 7: Wagner (oblique) tore his right oblique during Friday's 102-94 loss to the 76ers and will be re-evaluated in four weeks, Shams Charania of ESPN reports."
N/A,N/A,N/A,N/A,N/A
Jared McCain,G,Mar 1,Out,"Dec 14: The 76ers announced Saturday that following Friday's game versus the Pacers, an MRI revealed a lateral meniscus tear in McCain's left knee. The rookie guard will undergo surgery and is out indefinitely, Jake Fischer of Yahoo Sports reports."
Kyle Lowry,PG,Dec 16,Day-To-Day,"Dec 14: Lowry (back) is out for Friday's game versus the Pacers, Adam Aaronson of PhillyVoice.com reports."
Joel Embiid,C,Dec 16,Day-To-Day,"Dec 14: Embiid (face) suffered a sinus fracture in Friday's 121-107 loss to the Pacers, Shams Charania of ESPN reports."
Caleb Martin,SF,Dec 16,Day-To-Day,"Dec 14: Martin (shoulder) has begun on-court work and is considered day-to-day moving forward, Kyle Neubeck of AllPHLY.com reports."
Adem Bona,C,Dec 16,Out,"Dec 13: Bona (knee), who has been ruled out for Friday's game against the Pacers, has begun on-court work and remains day-to-day ahead of Monday's matchup against the Hornets, Kyle Neubeck of AllPHLY.com reports."
N/A,N/A,N/A,N/A,N/A
Bradley Beal,SG,Dec 15,Day-To-Day,"Dec 14: Beal (knee) is questionable for Sunday's game against the Trail Blazers, Duane Rankin of The Arizona Republic reports."
Collin Gillespie,G,Dec 19,Out,"Nov 12: Gillespie suffered a right ankle fracture and will be re-evaluated in four weeks, Shane Young of Forbes.com reports."
N/A,N/A,N/A,N/A,N/A
Robert Williams III,C,Dec 15,Out,"Dec 14: Williams (reconditioning) is Sean Highkin of Rip City Radio 620 Portland for Sunday's game against the Suns, Sean Highkin reports."
Deandre Ayton,C,Dec 19,Out,"Dec 14: Ayton (illness) is out for Sunday's game against the Suns, Sean Highkin of Rip City Radio 620 Portland reports."
Matisse Thybulle,SG,Jan 2,Out,Nov 26: The Trail Blazers announced Tuesday that Thybulle suffered a Grade 2 right ankle sprain while ramping up in an effort to return to the court and is expected to miss 3-6 weeks.
N/A,N/A,N/A,N/A,N/A
Kevin Huerter,SG,Dec 16,Day-To-Day,"Dec 14: Huerter is expected to be day-to-day with a sprained AC joint in his left shoulder, James Ham of ESPN 1320 Sacramento reports."
Trey Lyles,PF,Dec 19,Out,"Nov 26: The Kings announced Tuesday that Lyles has suffered a Grade 1 right calf strain and will re-evaluated in 3-4 weeks, Frankie Cartoscelli of KHTK Sactown Sports 1140 reports."
N/A,N/A,N/A,N/A,N/A
Zach Collins,PF,Dec 15,Day-To-Day,"Dec 14: Collins (back) is doubtful for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
Tre Jones,PG,Dec 15,Out,"Dec 14: Jones (shoulder) is questionable for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
Stephon Castle,G,Dec 15,Day-To-Day,"Dec 14: Castle (shoulder) is questionable for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
Keldon Johnson,SF,Dec 19,Out,"Dec 14: Johnson (calf) is out for Sunday's game against the Timberwolves, Paul Garcia of ProjectSpurs.com reports."
N/A,N/A,N/A,N/A,N/A
Bruce Brown,SF,Dec 19,Out,"Dec 15: Brown (knee/conditioning) won't play Monday against the Bulls, Blake Murphy of Sportsnet.ca reports."
Jamison Battle,F,Dec 19,Out,"Dec 15: Battle registered 24 points (9-11 FG, 6-8 3Pt), one rebound, three assists, one block and one steal over 22 minutes off the bench during Wednesday's 119-93 win over the Pelicans."
Immanuel Quickley,SG,Jan 3,Out,"Dec 15: Quickley (elbow) has begun incorporating his left arm into recent workouts, but he's still not ready for full-contact drills, Aaron Rose of SI.com reports."
Scottie Barnes,SF,Jan 3,Out,"Dec 15: Barnes (ankle) is out of his walking boot and was moving without restriction during the non-contact parts of Sunday's practice, Aaron Rose of SI.com reports."
N/A,N/A,N/A,N/A,N/A
Svi Mykhailiuk,SG,Dec 16,Day-To-Day,Dec 14: Mykhailiuk is out for Friday's game against the Suns due to a left groin strain.
Taylor Hendricks,F,Oct 1,Out,"Nov 6: Hendricks underwent surgery on his broken right leg and dislocated ankle Wednesday, Andy Larsen of The Salt Lake Tribune reports."
N/A,N/A,N/A,N/A,N/A
Corey Kispert,SF,Dec 19,Out,Dec 14: Kispert (ankle) is out for Sunday's game against the Celtics.
Kyshawn George,F,Dec 19,Out,Dec 14: George (ankle) won't play in Sunday's game versus the Celtics.
Kyle Kuzma,SF,Dec 19,Out,Dec 14: Kuzma (ribs) is out for Sunday's game against the Celtics.
Malcolm Brogdon,PG,Dec 19,Out,Dec 14: Brogdon (hamstring) is out for Sunday's game against the Celtics.
Tristan Vukcevic,PF,Dec 15,Out,Dec 8: Vukcevic (knee) is listed out for Sunday's game against the Grizzlies.
Saddiq Bey,SF,Jan 12,Out,"Oct 15: Coach Brain Keefe said Tuesday that Bey (knee) doesn't have a return timetable, Varun Shankar of The Washington Post reports."
